2176	[slice 8] Cold-start migration ticket — sweep currently-open issues to map or annotate their ACs	annotatable	post-mapping-comment	internal/batch/orchestrator_test.go:TestAllowAlreadyResolvedWhenACVerifiedIndependently	code surface described; no go test -run mapping
2175	[slice 7] Test suite: all five oracle paths + #1684 smoke + backstop	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2174	[slice 6] Step 1.5 wording + task template update (skill-hygiene safe)	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2173	[slice 5] Refactor alreadyResolved arm to four-oracle layering	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2172	[slice 4] T3 transitional fallback: evidence-block parser + replay sandbox	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2171	[slice 3] T1 decision oracle: AC parser + worktree verifier + three-state aggregate	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2170	[slice 1] Extend PR struct with reviewDecision / mergeStateStatus / statusCheckRollup	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2169	[slice 2] T2 pre-filter: DiffSubset helper + L1 predicate wiring	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2165	spec: verify-then-close path for alreadyResolved runs (Layer 1 replacement)	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2164	T7 — Landing-page README touch-up: replace 'PRD model in prose' with 'Specification model in prose'	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2163	T6 — Skill-prose sweep under internal/skill/sandman/ for PRD concept references	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2151	[wayfinder map] Relax open-pr-blocks-already-resolved guard with AC verification on origin/main	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2150	Wayfinder map: remove codeindex from sandman	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2149	explore: relax open-pr-blocks-already-resolved guard when ACs are independently verified on origin/main	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2148	sandman init should ensure .gitignore excludes .sandman/	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2147	T5 — Update portal log-line fixture and any persisted event payloads that capture the old expansion string	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2146	T4 — Broaden detector + recursive flatten in the renamed spec resolver (was internal/batch/prd.go)	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
2142	Spec-shaped detector + rename PRD → Specification + migration	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
1808	[slice 4] DESIGN.md placeholder removal	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
1807	[slice 3] --version flag and Makefile ldflags seam	annotatable	post-mapping-comment	cmd/sandman/main_test.go:TestExecuteRoot_VersionFlag_LDFlagsInjected	code surface described; no go test -run mapping
1806	[slice 2] CHANGELOG v1.0 reset	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
1805	[slice 1] ADR cleanup and renumbering	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
1804	PRD: v1.0 cleanup — ADR surface, CHANGELOG reset, --version seam, and DESIGN polish	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
957	release: adopt release-please for automated semantic versioning and GitHub releases	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
956	release: add goreleaser config for multi-arch linux and macOS builds	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
955	ci: enforce conventional commits and protect main branch	planning-only	post-why-comment+no-test-mapping-label		ACs describe non-code deliverables (CI, rename, ticket bookkeeping)
